               name | period_in_days | planet_radius_in_earth_radii | planet_equilibrium_temperature |            rp_over_rs |          transit_depth | semimajor_axis_in_au
           55 Cnc e |       0.736539 |                         1.91 |             1954.9818016218196 |  0.018628369100156278 |  0.0003470161353316572 |              0.01544
           AU Mic b |        8.46321 |                        4.203 |              601.4419075824626 |  0.051376846916774466 |   0.002639580399109678 |                0.066
        BD+20 594 b |        41.6855 |                        2.578 |              546.8961579622779 |  0.021884089299879148 | 0.00047891336448508504 |  0.27914501877409975
          CoRoT-1 b |      1.5089557 |                         16.7 |             1900.0504439123827 |    0.1379312948135716 |   0.019025042088948407 | 0.025310064024422887
         CoRoT-10 b |        13.2406 |                        10.87 |              669.6635491440438 |    0.1261455032086797 |   0.015912687979771023 |               0.1055
         CoRoT-11 b |        2.99433 |                        16.03 |             1740.7491994778861 |     0.107270986844107 |   0.011507064618508579 |               0.0436
         CoRoT-12 b |       2.828042 |                        16.14 |             1445.1446616743522 |   0.13211582116675905 |   0.017454590202567056 |              0.04016
         CoRoT-13 b |        4.03519 |                         9.92 |             1275.7358371548682 |   0.09004500346541768 |   0.008108102649087082 |                0.051
         CoRoT-14 b |        1.51214 |                        12.22 |             1948.1454357862074 |   0.09258809665513182 |   0.008572555642220031 |                0.027
         CoRoT-16 b |        5.35227 |                        13.11 |             1195.5314046214166 |   0.10100085519330629 |   0.010201172749779226 |               0.0618
         CoRoT-17 b |         3.7681 |                        11.43 |             1625.5236394836843 |   0.06590500947871153 |   0.004343470274389057 |               0.0461
         CoRoT-18 b |      1.9000693 |                        14.68 |             1527.2888793268348 |   0.13458460255857407 |   0.018113015245849344 |               0.0295
         CoRoT-19 b |        3.89713 |                        14.46 |             1657.4013287748994 |   0.08034404066538609 |   0.006455164870441213 |               0.0518
          CoRoT-2 b |      1.7429935 |                       16.432 |              1546.865899870888 |   0.16554587157847178 |    0.02740543559667587 |              0.02798
         CoRoT-20 b |        9.24285 |                          nan |              930.8037612895477 |                   nan |                    nan |                 0.09
         CoRoT-21 b |        2.72474 |                       14.572 |             2044.4395107305054 |   0.06850998492571583 |   0.004693618034521811 |               0.0417
         CoRoT-22 b |        9.75598 |                         4.88 |             1008.1035291065214 |   0.03924499620475653 |  0.0015401697271113543 |                0.092
         CoRoT-23 b |         3.6313 |                        11.77 |             1647.6980540416366 |   0.06702238953214822 |   0.004492000698599011 |                0.048
         CoRoT-24 b |         5.1134 |                          3.7 |               935.392124101494 |   0.03944324103880649 |  0.0015557692636453885 |                0.056
         CoRoT-24 c |         11.759 |                          5.0 |              707.0899824860056 |  0.053301677079468215 |  0.0028410687794839075 |                0.098
         CoRoT-25 b |        4.86069 |                        12.11 |             1321.5384333690408 |   0.09329674724568567 |   0.008704283046625357 |               0.0578
         CoRoT-26 b |        4.20474 |                        14.12 |              1572.456894809942 |   0.07231876258227915 |   0.005230003421432059 |               0.0526
         CoRoT-27 b |        3.57532 |                       11.287 |             1355.1697875826046 |   0.09581292316824513 |   0.009180116246044045 |               0.0476
         CoRoT-28 b |        5.20851 |                       10.705 |              1349.248276407255 |  0.055136093224349245 |   0.003039988776044131 |               0.0603
         CoRoT-29 b |        2.85057 |                       10.088 |             1224.7477333063653 |   0.10276184306773352 |    0.01055999639067749 |               0.0386
          CoRoT-3 b |         4.2568 |                        11.32 |              1698.923378770205 |   0.06652595983385115 |  0.0044257033318151765 | 0.057090441517892616
         CoRoT-30 b |        9.06005 |                        11.31 |               894.604788551504 |   0.11394375654530893 |   0.012983179655656632 |               0.0844
         CoRoT-31 b |        4.62941 |                       16.365 |             1664.8632829663386 |   0.06978255563243979 |  0.0048696050705945544 |               0.0586
          CoRoT-4 b |        9.20205 |                        13.34 |             1076.2065303720233 |   0.10452960002162244 |    0.01092643728068037 |                 0.09
          CoRoT-5 b |      4.0378962 |                       15.558 |             1442.6655404562605 |   0.11986051144908155 |    0.01436654220483541 |              0.04947
          CoRoT-6 b |       8.886593 |                       13.068 |             1014.3027874101742 |   0.11745682976942391 |   0.013796106859483428 |               0.0855
          CoRoT-7 b |     0.85359163 |                        1.681 |             1804.9919066587659 |   0.01856773553896483 | 0.00034476080304493757 | 0.016483107768586785
          CoRoT-8 b |        6.21229 |                         6.39 |               856.391006737068 |    0.0760815678500025 |   0.005788404966514535 |                0.063
          CoRoT-9 b |      95.272656 |                       11.949 |              419.1065078518907 |   0.11411156164654304 |   0.013021448501412793 |               0.4021
CoRoTID 223977153 b |        6.71837 |                        6.389 |              960.2669908033598 |   0.07414384728613198 |    0.00549731009038926 |                0.071
         DS Tuc A b |       8.138268 |                          5.7 |              909.8657925467885 |   0.05443433771740692 |  0.0029630971227327095 |  0.07944431625437091
  EPIC 201170410.02 |         6.7987 |                        1.047 |             498.25817121770314 |   0.03428135433992484 |  0.0011752112553794836 |               0.0349
   EPIC 201238110 b |        28.1656 |                         1.87 |                            nan |                   nan |                    nan |   0.1345886196896957
   EPIC 201497682 b |        2.13174 |                        0.692 |              1033.255778692766 |    0.0115348705685575 | 0.00013305323903337404 | 0.029839307446889608
   EPIC 201615463 c |        3.80464 |                         1.22 |             1641.0688515868676 | 0.0069905149489722564 |  4.886729925180459e-05 | 0.048783320106295235
   EPIC 201754305 d |        2.71578 |                         1.03 |              924.0252504723352 |  0.017486898354441834 | 0.00030579161405858054 |  0.03333412349689705
  EPIC 201757695.02 |         2.0478 |                        0.908 |             1029.1954199492768 |  0.012612791999337923 | 0.00015908252201856271 |               0.0296
   EPIC 201833600 c |        3.96151 |                          1.0 |              812.2337012144392 |  0.014552203901061165 | 0.00021176663837805978 |  0.04155450991917757
   EPIC 201841433 b |         4.1698 |                         1.04 |             1033.7579170260797 |  0.015134292057103612 |  0.0002290467960697095 |                0.035
   EPIC 205950854 c |       8.050722 |                         1.31 |              880.7559798940223 |  0.014469799854874434 | 0.00020937510784012418 |  0.07533298210318126
   EPIC 206024342 b |        4.50756 |                          1.7 |             1103.4437873192048 |   0.01900659802199574 | 0.00036125076836973245 | 0.052126237178397095
   EPIC 206032309 b |        2.87814 |                         1.01 |                            nan |                   nan |                    nan | 0.023904695675620084
   EPIC 206042996 b |        5.29711 |                         1.62 |              716.4442740159092 |  0.022167133285706006 |  0.0004913817981062552 |  0.04901809006495212
   EPIC 206215704 b |        2.25372 |                          0.9 |                            nan |                   nan |                    nan | 0.024991690858294165
   EPIC 206317286 b |        1.58252 |                         0.96 |              1285.443738000078 |  0.013136078984122078 | 0.00017255657107709371 | 0.023709367581680817
   EPIC 211822797 b |      21.169861 |                         1.98 |             417.24948751984624 |  0.031846349379269646 |  0.0010141899687865082 |                0.131
   EPIC 211945201 b |       19.49221 |                         5.76 |              892.9516242567599 |   0.03799067447206529 |  0.0014432913468424334 |               0.1493
   EPIC 212297394 b |        2.28943 |                        1.323 |             1165.2612501462136 |  0.016172155239327295 | 0.00026153860508490125 |  0.03194812137882934
   EPIC 212424622 b |        18.0983 |                         2.17 |              824.0416027355191 |   0.01630681799437764 |  0.0002659123131017584 |     0.13967989403028
   EPIC 212499991 b |         34.885 |                          1.6 |              465.5064247222451 |  0.019300817805617966 | 0.00037252156796565954 |   0.2024762075277268
   EPIC 212587672 b |        15.2841 |                         1.12 |              813.3199479724049 |   0.01047758680876404 | 0.00010977982533518623 |  0.11848648905041144
   EPIC 212737443 b |         13.603 |                        2.586 |              590.5743052560139 |  0.035385312763478845 |  0.0012521203593692189 |                0.098
   EPIC 212737443 c |          65.55 |                         2.69 |             349.38847077432047 |  0.036808387986758735 |  0.0013548574261837648 |                 0.28
   EPIC 220554210 c |        0.70531 |                         1.48 |             2095.0308417526867 |  0.014434547784414288 | 0.00020835616974053942 | 0.015190207071484342
   EPIC 220674823 b |       0.571331 |                         1.82 |                 2316.318950937 |  0.017026078564241563 |  0.0002898873512757261 |               0.0134
   EPIC 220674823 c |      13.339079 |                         2.73 |              811.7800690601738 |  0.025539117846362345 |  0.0006522465403703836 |               0.1091
   EPIC 246193072 b |     12.4551225 |                        8.676 |              723.5886848017897 |   0.09700073202284416 |   0.009409142012967626 |               0.1016
   EPIC 246851721 b |       6.180235 |                       11.781 |             1402.5698840849507 |   0.06792886410049874 |   0.004614330577984027 |              0.07229
   EPIC 248847494 b |         3650.0 |                       12.442 |             182.94801587821792 |  0.042246988218634034 |  0.0017848080135454028 |                  4.5
   EPIC 249893012 b |         3.5951 |                         1.95 |              1579.364069653227 |  0.010454609644709732 | 0.00010929886282325774 |                0.047
   EPIC 249893012 c |         15.624 |                         3.67 |               949.641108856982 |   0.01967611148517165 |  0.0003871493631769037 |                 0.13
